# Binance official API catalog snapshot
# baseline_date: 2026-08-10
# source_catalog: https://developers.binance.com/en/docs/llms.txt
# source_detail: https://developers.binance.com/en/docs/llms-full.txt
# source_catalog_sha256: 44fa6608f682b03358e5b7f53d25e791f5eea4d790bff91db86b95151116fc8e
# source_detail_sha256: 2edabba856125f393ea3e5b7f53d25e791f5eea4d790bff91db86b95151116fc8e
# exposure: local public-surface classification; see README.md
# columns: official_product	interface	method	path_or_message	operation_id	authentication	risk	lifecycle	exposure
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/{symbol}@miniTicker	individualSymbolMiniTickerStream	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/{symbol}@ticker	individualSymbolTickerStreams	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/{symbol}@kline_{interval}	klineCandlestickStreams	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/{symbol}@forceOrder	marketLiquidationOrderStreams	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/{symbol}@markPriceKline_{interval}	markPriceKlineCandlestickStreams	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/{pair}@markPrice@{updateSpeed}	markPriceOfAllSymbolsOfAPair	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/{symbol}@markPrice@{updateSpeed}	markPriceStream	Public	Read	documented_active	provider_typed
Futures (COIN-M) WebSocket Market Streams	WebSocketStream	POST	/{symbol}@depth{levels}@{updateSpeed}	partialBookDepthStreams	Public	Read	documented_active	provider_typed
Options REST	Http	GET	/eapi/v1/bill	accountFundingFlow	USER_DATA	Read	documented_active	provider_typed
Options REST	Http	GET	/eapi/v1/marginAccount	optionMarginAccountInformation	USER_DATA	Read	documented_active	provider_typed
Options REST	Http	GET	/eapi/v1/time	checkServerTime	Public	Read	documented_active	provider_typed
Options REST	Http	GET	/eapi/v1/exchangeInfo	exchangeInformation	Public	Read	documented_active	provider_typed
Options REST	Http	GET	/eapi/v1/exerciseHistory	historicalExerciseRecords	Public	Read	documented_active	provider_typed
Options REST	Http	GET	/eapi/v1/index	indexPrice	Public	Read	documented_active	provider_typed
Options REST	Http	GET	/eapi/v1/klines	klineCandlestickData	Public	Read	documented_active	provider_typed
Options REST	Http	GET	/eapi/v1/openInterest	openInterest	Public	Read	documented_active	provider_typed
Options REST	Http	GET	/eapi/v1/mark	optionMarkPrice	Public	Read	documented_active	provider_typed
